lat,lon,accuracy,source,locality,address,updated
18.194947,99.870168,26,GPS,Long District,"Long District, Phrae 54150",2026-02-27 10:32:30
18.096358,99.866883,2,GPS,Long District,"203 Thetsaban 2 Road, Ban Pin, Long District, Phrae 54150",2026-02-27 10:49:41
18.096305,99.866846,9,GPS,Long District,"203 Thetsaban 2 Road, Ban Pin, Long District, Phrae 54150",2026-02-27 10:55:13
18.080372,99.879712,16,GPS,Long District,"Long District, Phrae 54150",2026-02-27 10:59:32
18.080372,99.879712,16,GPS,Long District,"Long District, Phrae 54150",2026-02-27 10:59:32
18.040347,99.916938,60,GPS,Long District,"Long District, Phrae 54150",2026-02-27 11:09:52
18.032004,99.922519,36,GPS,Long District,"Long District, Phrae 54150",2026-02-27 11:11:34
18.032004,99.922519,36,GPS,Long District,"Long District, Phrae 54150",2026-02-27 11:11:34
18.032004,99.922519,36,GPS,Long District,"Long District, Phrae 54150",2026-02-27 11:11:34
17.97274,100.052057,14,GPS,Den Chai District,"Den Chai District, Phrae 54110",2026-02-27 11:31:00
17.92115,100.062211,10,GPS,Den Chai District,"Den Chai District, Phrae 54110",2026-02-27 11:36:34
17.881632,100.040743,6,GPS,Den Chai District,"Den Chai District, Phrae 54110",2026-02-27 11:41:39
17.839016,100.046134,14,GPS,Mueang Uttaradit District,"Mueang Uttaradit District, Uttaradit 53000",2026-02-27 11:47:01
17.808954,100.066603,5,GPS,Mueang Uttaradit District,"Mueang Uttaradit District, Uttaradit 53000",2026-02-27 11:51:54
17.77201,100.108,5,GPS,Mueang Uttaradit District,"169 Ro Pho Cho. Uttaradit 4013 Road, Ban Dan Na Kham, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 11:57:12
17.723428,100.126752,14,GPS,Mueang Uttaradit District,"33–99 Thanon Phatthanakan Soi 13, Ban Dan Na Kham, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:02:22
17.652857,100.122463,5,GPS,Mueang Uttaradit District,"Pracha Ruam Chai Road, Tha Sao, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:07:28
17.639648,100.10107,8,Wifi,Mueang Uttaradit District,"Sila At, Tha It, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:12:16
17.620929,100.097137,14,GPS,Mueang Uttaradit District,"1/47 Boromma At Road, Tha It, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:17:39
17.599924,100.093404,530,unknown,Mueang Uttaradit District,"Ban Ko, Mueang Uttaradit District, Uttaradit",2026-02-27 12:23:03
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"242 Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"242 Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
17.594402,100.093817,6,GPS,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
16.817458,100.25806,60,GPS,Mueang Phitsanulok District,"Phibun Songkhram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:23:02
16.816864,100.258006,10,GPS,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:28:33
16.816866,100.258006,10,unknown,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:33:21
